Folio;Materia;Fecha de la solicitud;Enlace al documento de respuesta;Resumen de la solicitud
Ejemplo 1;Ejemplo 1;Ejemplo 1;Ejemplo 1;Ejemplo 1
Ejemplo 2;Ejemplo 2;Ejemplo 2;Ejemplo 2;Ejemplo 2
Ejemplo 3;Ejemplo 3;Ejemplo 3;Ejemplo 3;Ejemplo 3
Ejemplo 4;Ejemplo 4;Ejemplo 4;Ejemplo 4;Ejemplo 4
Ejemplo 5;Ejemplo 5;Ejemplo 5;Ejemplo 5;Ejemplo 5
Ejemplo 6;Ejemplo 6;Ejemplo 6;Ejemplo 6;Ejemplo 6
Ejemplo 7;Ejemplo 7;Ejemplo 7;Ejemplo 7;Ejemplo 7
Ejemplo 8;Ejemplo 8;Ejemplo 8;Ejemplo 8;Ejemplo 8
Ejemplo 9;Ejemplo 9;Ejemplo 9;Ejemplo 9;Ejemplo 9
Ejemplo 10;Ejemplo 10;Ejemplo 10;Ejemplo 10;Ejemplo 10
Ejemplo 11;Ejemplo 11;Ejemplo 11;Ejemplo 11;Ejemplo 11
